NID	PE	ING	AL	AD	V	A	O	D
1315	2	40441	8292	3414	0	1	1	88
1316	1	43472	8521	4074	1	1	0	88
1317	1	37111	8022	3305	1	1	0	88
1318	3	34339	6270	3030	1	0	0	88
1319	1	41770	8266	3187	1	0	0	88
1320	3	46806	9471	3826	0	0	0	88
1321	4	42578	9887	4954	1	0	0	88
1322	1	47933	10159	4214	0	0	0	88
1323	3	37331	7900	3437	1	0	0	88
1324	1	34692	6872	2354	1	0	0	88
1325	4	46137	8554	5425	1	1	0	88
1326	4	38575	6977	4594	1	0	0	89
1327	1	41059	8679	4176	1	1	0	89
1328	4	39082	8324	3987	1	1	0	89
1329	3	41582	9139	4565	1	0	0	89
1330	5	39876	8174	4174	0	0	0	89
1331	4	37582	8153	4292	0	1	1	89
1332	3	41549	7913	4296	0	1	0	89
1333	5	40998	8903	3336	0	1	1	89
1334	2	39242	8262	3814	0	1	0	89
1335	2	42757	7712	4208	1	0	0	89
1336	3	42814	9717	6178	0	0	0	90
1337	4	34994	7101	3827	1	0	0	90
1338	3	42877	8559	4539	1	0	0	90
1339	2	30898	6550	3184	1	0	0	90
1340	5	43694	9139	4268	1	0	1	90
1341	2	46258	8861	4974	1	1	0	90
1342	2	38594	7812	4725	1	1	0	90
1343	3	36629	7710	3583	0	1	0	90
1344	2	42020	7927	4953	1	1	0	90
1345	3	34655	6678	3488	0	0	0	90
1346	4	38544	6895	3786	0	1	0	90
1347	3	44690	9005	4101	1	1	0	90
1348	1	45881	9207	4590	1	1	0	90
1349	5	45158	9276	5609	0	0	0	90
1350	2	49328	10257	4259	0	0	0	90
1351	6	39384	7878	4028	0	0	0	91
1352	2	36351	7127	2796	0	0	0	91
1353	2	42345	7094	4519	1	0	0	91
1354	4	38083	7896	4644	0	0	0	91
1355	4	44870	8345	5630	1	0	0	91
1356	2	33676	7700	3452	0	0	0	91
1357	3	36373	6704	3927	1	1	0	91
1358	2	37795	7834	3422	1	1	0	91
1359	1	37123	7371	2504	1	0	0	91
1360	4	33315	6603	3185	1	1	0	91
1361	1	37608	8531	3331	1	1	0	91
1362	1	38878	7783	2949	0	0	0	91
1363	3	38768	7277	3194	0	0	0	91
1364	4	44415	9371	3914	1	0	0	91
1365	3	36802	7048	3886	1	0	1	91
1366	4	36768	8134	3269	1	0	0	91
1367	4	36744	7128	2917	0	0	0	91
1368	3	35351	6913	3060	0	0	0	91
1369	2	47921	10290	3186	1	1	0	91
1370	3	34568	7517	3800	1	0	0	91
1371	2	32935	6203	3030	1	1	0	92
1372	5	38193	7798	4260	0	0	0	92
1373	4	40160	9411	4233	1	0	0	92
1374	3	41786	8988	4085	1	0	0	92
1375	5	43614	9452	3531	0	0	0	92
1376	2	38372	7978	4057	1	0	0	92
1377	3	47023	10047	4528	0	0	0	92
1378	4	43884	8705	4693	1	0	0	92
1379	4	42117	9353	4348	0	0	0	92
1380	1	41387	7371	3392	0	0	0	92
1381	3	54593	10863	4511	0	0	1	93
1382	4	47199	9503	5914	0	0	0	93
1383	4	41188	8077	3750	1	1	0	93
1384	1	41924	8959	4406	1	0	0	93
1385	4	30583	6538	3675	0	1	0	93
1386	2	43562	8357	5347	1	1	0	93
1387	2	36135	7180	3274	1	0	0	93
1388	3	41895	8627	4183	1	1	0	93
1389	2	40490	9170	3903	0	1	0	93
1390	4	31105	6421	2419	1	0	0	93
1391	1	37065	7902	4376	1	0	0	93
1392	1	41453	8756	2475	1	0	0	93
1393	3	36407	7179	3953	1	1	0	93
1394	4	44520	9360	3656	1	1	0	93
1395	2	42630	8647	4577	1	1	0	93
1396	4	31315	6359	4093	1	0	0	94
1397	2	37800	8211	4492	1	1	0	94
1398	2	39657	9143	3670	1	1	0	94
1399	3	41556	8349	3238	1	1	0	94
1400	3	43000	8107	4836	0	1	0	94
1401	3	35587	7523	3434	0	0	0	94
1402	2	43385	9260	4516	1	1	0	94
1403	5	44197	8083	4964	0	0	0	94
1404	1	42920	8086	3818	1	1	0	94
1405	2	34214	7407	3641	1	0	0	94
1406	5	42140	8477	4034	1	0	0	94
1407	2	41294	8273	3733	1	0	0	94
1408	5	41243	8784	3813	1	0	0	94
1409	1	41392	8352	4874	1	0	0	94
1410	3	47600	8972	5615	1	0	0	94
1411	2	42126	8484	4882	0	1	0	94
1412	3	36495	7217	3932	0	0	0	94
1413	4	35210	7318	3580	0	0	0	94
1414	1	47932	9627	4708	1	0	0	94
1415	2	39245	8459	3839	0	0	0	94
1416	2	41805	8064	5013	1	1	1	95
1417	1	48293	9232	4239	0	1	0	95
1418	1	48040	9632	4530	1	1	0	95
1419	5	41983	8161	5358	1	0	0	95
1420	4	38764	8099	3428	1	0	1	95
1421	2	38697	6594	3391	0	0	0	95
1422	3	37251	7510	3386	0	1	0	95
1423	1	40911	8162	3439	1	1	0	95
1424	2	44806	8315	4707	1	1	0	95
1425	2	42237	8448	5277	1	0	0	95
1426	1	32885	7229	3774	1	0	0	96
1427	3	40449	8052	4335	0	0	0	96
1428	3	30070	5950	3272	1	0	0	96
1429	3	40918	9292	4753	0	1	0	96
1430	2	48139	10886	5241	0	0	0	96
1431	3	36799	7697	3782	1	0	0	96
1432	3	34670	7412	3659	1	0	0	96
1433	3	42173	7809	4673	0	0	0	96
1434	3	42728	8716	4936	0	0	0	96
1435	2	43407	9026	4965	1	0	0	96
1436	4	37307	7833	3169	1	1	0	96
1437	2	43591	9232	4804	1	0	0	96
1438	2	49711	9811	4436	1	1	0	96
1439	3	41126	8829	4069	0	0	1	96
1440	1	41178	7017	4855	1	1	0	96
1441	3	47818	10883	3785	1	1	0	97
1442	1	46953	8603	3961	0	0	1	97
1443	5	35275	6891	3624	1	1	0	97
1444	1	38095	7577	3119	1	0	0	97
1445	3	42317	7895	6321	0	1	0	97
1446	3	36645	7755	3948	1	1	0	97
1447	1	41782	8556	5203	1	1	0	97
1448	3	46774	10251	5258	0	1	0	97
1449	3	42512	9424	4565	0	1	0	97
1450	1	47678	9348	4680	1	0	0	97
1451	1	39233	9083	4688	1	1	0	97
1452	3	42469	7798	4537	1	1	1	97
1453	3	37678	7646	2769	1	1	0	97
1454	2	31135	6106	2678	1	0	0	97
1455	3	43325	9155	4763	1	0	0	97
1456	2	37811	8110	4714	1	0	1	97
1457	3	35108	6718	2443	1	0	0	97
1458	5	36880	6829	3584	0	1	0	97
1459	4	44735	9116	4612	0	1	0	97
1460	2	36794	8080	3637	1	0	0	97
1461	1	41341	8657	3969	1	0	0	98
1462	5	42032	8199	4638	1	1	0	98
1463	5	44948	8951	4155	1	1	0	98
1464	4	41177	8815	3408	1	1	0	98
1465	3	37641	7376	4504	1	0	0	98
1466	5	40318	8236	4408	1	0	0	98
1467	1	46111	8882	3877	1	0	0	98
1468	2	43257	9225	4766	1	0	0	98
1469	2	39378	8919	3638	0	0	1	98
1470	2	39639	7144	5399	0	0	0	98
1471	2	37409	8609	2867	0	1	1	99
1472	1	40322	8694	3688	1	1	0	99
1473	3	41196	8850	3664	1	1	0	99
1474	2	47405	9804	5384	1	1	0	99
1475	1	43960	10621	4987	0	1	0	99
1476	4	35460	7374	3445	0	0	0	99
1477	1	37679	6568	3158	1	1	0	99
1478	2	37044	7909	3389	1	0	0	99
1479	5	50421	10421	4213	1	0	0	99
1480	5	35643	6384	3628	0	0	0	99
1481	3	44192	9686	4443	1	1	0	99
1482	1	39154	8684	2900	0	0	0	99
1483	3	41480	8571	5519	0	0	1	99
1484	2	38045	7865	2892	1	0	0	99
1485	2	47577	10474	4183	1	0	0	99
1486	3	35712	7015	3438	1	1	1	100
1487	5	31437	5357	3721	1	0	1	100
1488	3	35511	6978	3000	0	1	1	100
1489	4	41410	8752	3191	1	0	0	100
1490	3	35792	7874	4514	0	0	0	100
1491	6	45053	9182	4643	1	1	0	100
1492	2	47127	9026	4354	0	0	0	100
1493	2	35491	6823	3845	1	1	0	100
1494	5	51224	10850	5270	1	0	0	100
1495	2	36854	7854	3857	1	1	0	100
1496	3	34827	7512	2920	0	1	1	100
1497	2	34261	7071	3672	0	1	0	100
1498	4	35628	7152	3774	0	0	0	100
1499	5	51082	9819	5265	1	0	0	100
1500	3	41970	8305	5006	1	1	1	100
